,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,new_addition
11,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2024-06-28 01:43:05,2021-05-03 18:03:14,111,,143.0,19,128,110.0,4.0,1266.0,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,,
12,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/lukasmasuch/best-of-crypto,https://github.com/lukasmasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-07-12 09:36:46,2024-06-05 20:02:12,282,,76.0,22,141,11.0,1.0,424.0,2024-06-05 20:02:18,2024.06.05,100.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,12,True,1,-3.0,,
13,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2025-05-01 09:25:34,2025-02-28 09:42:38,206,1.0,14.0,12,127,57.0,,371.0,2024-12-02 23:59:31,2024.12.01,31.0,A ranked list of awesome machine learning Rust libraries.,4,12,True,3,,,
14,best-of-digital-identity,jruizaranguren/best-of-digital-identity,,internet,https://github.com/jruizaranguren/best-of-digital-identity,https://github.com/jruizaranguren/best-of-digital-identity,CC-BY-SA-4.0,2023-04-12 09:58:39,2025-05-01 18:34:54,2025-04-25 08:31:22,300,26.0,9.0,7,126,,1.0,125.0,2025-04-25 08:31:52,2025.04.24,45.0,A ranked list of awesome Digital Identity open source projects.,5,12,True,1,,,
15,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/lukasmasuch/best-of-react,https://github.com/lukasmasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2024-08-13 23:55:13,2024-08-13 23:55:13,373,,107.0,18,184,2.0,2.0,960.0,2024-06-06 15:57:19,2024.06.06,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,7,11,True,2,-3.0,,
16,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,CC-BY-SA-4.0,2022-10-04 19:22:03,2025-05-01 00:19:05,2025-04-11 08:06:13,362,67.0,11.0,3,79,,,85.0,,,,A ranked list of awesome Django related Python packages.,2,11,True,2,2.0,,
17,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,CC-BY-SA-4.0,2022-11-27 14:22:10,2025-05-01 18:11:54,2025-04-25 09:49:26,146,15.0,,3,123,,,32.0,,,,List of automatically rated Python packages for FastAPI.,3,9,True,3,4.0,,
18,best-of-react-native,fkromer/best-of-react-native,,native-dev,https://github.com/fkromer/best-of-react-native,https://github.com/fkromer/best-of-react-native,CC-BY-SA-4.0,2023-04-30 19:12:38,2025-05-01 18:02:45,2025-04-25 09:49:15,208,24.0,3.0,2,97,,,7.0,,,,,2,7,False,1,,,
19,best-of-rust-on-embedded-linux,fkromer/best-of-rust-on-embedded-linux,,embedded-dev,https://github.com/fkromer/best-of-rust-on-embedded-linux,https://github.com/fkromer/best-of-rust-on-embedded-linux,CC-BY-SA-4.0,2025-04-22 18:53:52,2025-05-01 18:01:21,2025-04-30 16:24:31,51,51.0,,1,5,,,,,,,A ranked list of awesome Rust crates and projects suitable for the embedded Linux/Unix domain.,3,7,True,1,,,True
20,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,CC-BY-SA-4.0,2022-12-03 16:39:34,2025-05-01 18:10:38,2025-04-25 09:49:43,171,12.0,,2,133,,,6.0,,,,,2,6,False,3,,,
21,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,2.0,2,38,,,20.0,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,5,False,3,,,
