,name,github_id,labels,category,github_url,homepage,updated_github_id,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,recent_commit_count,trending
11,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/lukasmasuch/best-of-crypto,https://github.com/lukasmasuch/best-of-crypto,,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-07-12 09:36:46,2024-06-05 20:02:12,282,105.0,24.0,146.0,11.0,,537,2024-06-05 20:02:18,2024.06.05,100.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,13,False,1,,
12,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,,CC-BY-SA-4.0,2021-02-09 10:37:33,2026-03-01 09:38:19,2025-11-26 20:58:25,211,24.0,12.0,138.0,57.0,,488,2024-12-02 23:59:31,2024.12.01,31.0,A ranked list of awesome machine learning Rust libraries.,4,13,True,2,,
13,best-of-digital-identity,jruizaranguren/best-of-digital-identity,,internet,https://github.com/jruizaranguren/best-of-digital-identity,https://github.com/jruizaranguren/best-of-digital-identity,,CC-BY-SA-4.0,2023-04-12 09:58:39,2026-03-12 18:59:39,2026-03-06 09:52:18,382,14.0,8.0,174.0,,1.0,169,2026-03-06 09:51:36,2026.03.05,81.0,A ranked list of awesome Digital Identity open source projects.,7,13,True,1,30.0,
14,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,,CC-BY-SA-4.0,2022-01-23 23:37:02,2026-03-12 09:16:47,2026-03-11 20:38:28,1422,4.0,4.0,1514.0,1.0,,80,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",5,13,True,1,88.0,
15,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/lukasmasuch/best-of-react,https://github.com/lukasmasuch/best-of-react,,CC-BY-SA-4.0,2021-02-21 12:52:27,2025-08-28 08:50:49,2025-08-28 08:50:49,375,119.0,17.0,192.0,2.0,2.0,1052,2024-06-06 15:57:19,2024.06.06,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,9,11,True,2,,
16,best-of-nix,tolkonepiu/best-of-nix,,programming-languages,https://github.com/tolkonepiu/best-of-nix,https://github.com/tolkonepiu/best-of-nix,,CC-BY-SA-4.0,2025-05-11 01:41:28,2026-03-09 02:34:08,2026-03-09 02:34:06,152,2.0,2.0,76.0,,,48,2026-03-09 02:49:56,2026.03.09,47.0,A ranked list of the best resources in the Nix community. Updated weekly.,5,11,True,3,41.0,
17,best-of-mcp-servers,tolkonepiu/best-of-mcp-servers,,data-engineering,https://github.com/tolkonepiu/best-of-mcp-servers,https://github.com/tolkonepiu/best-of-mcp-servers,,CC-BY-SA-4.0,2025-08-01 20:32:12,2026-03-11 11:16:45,2026-03-11 11:16:43,125,17.0,,69.0,5.0,1.0,42,2026-03-11 11:16:53,2026.03.11,31.0,A ranked list of MCP servers. Updated weekly.,5,11,True,3,38.0,-1.0
18,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,,CC-BY-SA-4.0,2022-10-04 19:22:03,2026-03-01 09:58:40,2026-03-01 09:58:38,400,14.0,2.0,93.0,,,134,,,,A ranked list of awesome Django related Python packages.,3,9,True,3,6.0,
19,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,,CC-BY-SA-4.0,2022-11-27 14:22:10,2026-03-12 18:23:36,2026-03-05 23:17:00,189,1.0,2.0,167.0,,,48,,,,List of automatically rated Python packages for FastAPI.,3,9,True,3,12.0,
20,best-of-rust-on-embedded-linux,fkromer/best-of-rust-on-embedded-linux,,embedded-dev,https://github.com/fkromer/best-of-rust-on-embedded-linux,https://github.com/fkromer/best-of-rust-on-embedded-linux,,CC-BY-SA-4.0,2025-04-22 18:53:52,2026-03-12 18:15:17,2026-03-05 23:16:24,175,2.0,1.0,53.0,,,12,,,,A ranked list of awesome Rust crates and projects suitable for the embedded Linux/Unix domain.,4,8,True,1,24.0,
21,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,2.0,3.0,38.0,9.0,,24,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,7,False,3,,
22,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,,CC-BY-SA-4.0,2025-05-22 12:32:43,2025-09-03 03:20:33,2025-08-28 20:33:03,567,1.0,,,,,19,,,,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,7,7,True,3,,
23,best-of-react-native,fkromer/best-of-react-native,,native-dev,https://github.com/fkromer/best-of-react-native,https://github.com/fkromer/best-of-react-native,,CC-BY-SA-4.0,2023-04-30 19:12:38,2025-05-22 19:33:45,2025-05-22 19:33:45,216,2.0,1.0,100.0,,,9,,,,List of automatically rated React Native projects.,2,5,True,1,,
24,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,,CC-BY-SA-4.0,2022-12-03 16:39:34,2025-05-22 19:34:26,2025-05-22 19:34:26,175,,1.0,136.0,,,6,,,,List of automatically rated Vue projects.,2,5,True,3,,
