,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,new_addition
10,best-of-scala,stkeky/best-of-scala,,programming-languages,https://github.com/stkeky/best-of-scala,https://github.com/stkeky/best-of-scala,CC-BY-SA-4.0,2023-03-13 21:28:43,2023-11-16 18:20:18,2023-11-09 21:40:07,92.0,17.0,13.0,11.0,72.0,3.0,8.0,185.0,2023-11-09 21:40:56,2023.11.09,17.0,A ranked list of awesome Scala projects. Updated weekly.,9.0,13,True,3.0,-1.0,
11,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-11-13 12:04:51,2021-05-03 18:03:14,111.0,,104.0,14.0,111.0,56.0,4.0,771.0,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4.0,12,False,3.0,,
12,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-11-15 18:24:08,2023-11-15 18:24:08,667.0,89.0,14.0,7.0,22.0,,2.0,243.0,,,,Ranked list of awesome digital gardens / second brains.,14.0,12,True,3.0,,
13,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-11-01 09:19:05,2023-08-08 15:01:12,156.0,,3.0,10.0,109.0,57.0,,184.0,2023-08-07 11:50:42,2023.08.01,26.0,A ranked list of awesome machine learning Rust libraries.,2.0,12,True,3.0,,
14,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-11-15 20:17:09,2023-11-15 20:16:14,579.0,89.0,4.0,5.0,673.0,2.0,,38.0,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4.0,12,True,1.0,,
15,best-of-ps,jinningwang/best-of-ps,,others,https://github.com/jinningwang/best-of-ps,https://github.com/jinningwang/best-of-ps,CC-BY-SA-4.0,2022-11-29 16:56:33,2023-11-16 18:24:31,2023-03-21 21:59:04,139.0,,10.0,3.0,59.0,2.0,3.0,74.0,2023-06-16 19:44:02,2023.06.15,29.0,A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.,4.0,11,True,3.0,,
16,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44.0,,2.0,2.0,38.0,,,11.0,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2.0,5,False,3.0,,
17,best-of-vue,fkromer/best-of-vue,['javascript'],web-dev,https://github.com/fkromer/best-of-vue,https://github.com/fkromer/best-of-vue,CC-BY-SA-4.0,2022-12-03 16:39:34,2023-01-26 18:08:46,,,,,,,1.0,,9.0,,,,,2.0,4,False,3.0,,
18,best-of-fastapi,fkromer/best-of-fastapi,['python'],web-dev,https://github.com/fkromer/best-of-fastapi,https://github.com/fkromer/best-of-fastapi,CC-BY-SA-4.0,2022-11-27 14:22:10,2023-03-09 18:06:53,,,,,,,1.0,,6.0,,,,List of automatically rated Python packages for FastAPI.,2.0,4,True,3.0,,
19,best-of-django,fkromer/best-of-django,['python'],web-dev,https://github.com/fkromer/best-of-django,https://github.com/fkromer/best-of-django,CC-BY-SA-4.0,2022-10-04 19:22:03,2022-12-28 11:55:12,,,,,,,1.0,,2.0,,,,A ranked list of awesome Django related Python packages.,1.0,4,True,3.0,,
20,best-of-react-native,fkromer/best-of-react-native,,native-dev,,{},,,,,,,,,,,,,,,,,,0,False,,,
